Using GPU: b'NVIDIA GeForce RTX 2080 Ti'
This network will be trained using DT = 0.005
Numpy seed: 1118289516, Cupy seed: 998927211
Loading datasets...
Creating network...
Training...
Test | Epoch 9.0 | Loss: 30.37, Accuracy (%): 79.48, Learning rate: 0.003, Hidden layer 1 spike counts: 267.46, Output layer spike counts: 150.99, Hidden layer 1 silents (%): 0.5, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 542.95, Output layer weights norm: 103.87, Time (s): 2.57
Best accuracy: 79.48%, Networks save to: best_model
Train | Epoch 9.1 | Loss: 28.88, Accuracy (%): 80.98, Silent labels (%): 0.0, Time (s): 3.29
Train | Epoch 9.2 | Loss: 28.35, Accuracy (%): 81.95, Silent labels (%): 0.0, Time (s): 6.5
Train | Epoch 9.3 | Loss: 29.02, Accuracy (%): 80.72, Silent labels (%): 0.02, Time (s): 9.71
Train | Epoch 9.4 | Loss: 28.65, Accuracy (%): 81.54, Silent labels (%): 0.0, Time (s): 12.92
Train | Epoch 9.5 | Loss: 28.43, Accuracy (%): 81.39, Silent labels (%): 0.0, Time (s): 16.13
Train | Epoch 9.6 | Loss: 28.51, Accuracy (%): 81.38, Silent labels (%): 0.0, Time (s): 19.33
Train | Epoch 9.7 | Loss: 28.54, Accuracy (%): 81.19, Silent labels (%): 0.0, Time (s): 22.54
Train | Epoch 9.8 | Loss: 28.36, Accuracy (%): 81.38, Silent labels (%): 0.01, Time (s): 25.75
Train | Epoch 9.9 | Loss: 28.64, Accuracy (%): 81.11, Silent labels (%): 0.0, Time (s): 28.94
Train | Epoch 10.0 | Loss: 28.48, Accuracy (%): 81.53, Silent labels (%): 0.0, Time (s): 32.13
Test | Epoch 10.0 | Loss: 29.93, Accuracy (%): 79.82, Learning rate: 0.003, Hidden layer 1 spike counts: 262.49, Output layer spike counts: 152.11, Hidden layer 1 silents (%): 0.5, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 566.26, Output layer weights norm: 105.94, Time (s): 2.57
Best accuracy: 79.82%, Networks save to: best_model
Train | Epoch 10.1 | Loss: 28.31, Accuracy (%): 81.42, Silent labels (%): 0.0, Time (s): 3.19
Train | Epoch 10.2 | Loss: 28.01, Accuracy (%): 81.43, Silent labels (%): 0.0, Time (s): 6.38
Train | Epoch 10.3 | Loss: 28.32, Accuracy (%): 81.3, Silent labels (%): 0.0, Time (s): 9.58
Train | Epoch 10.4 | Loss: 28.01, Accuracy (%): 81.7, Silent labels (%): 0.0, Time (s): 12.77
Train | Epoch 10.5 | Loss: 28.32, Accuracy (%): 81.67, Silent labels (%): 0.0, Time (s): 15.95
Train | Epoch 10.6 | Loss: 27.93, Accuracy (%): 81.86, Silent labels (%): 0.0, Time (s): 19.14
Train | Epoch 10.7 | Loss: 27.96, Accuracy (%): 81.82, Silent labels (%): 0.0, Time (s): 22.32
Train | Epoch 10.8 | Loss: 28.39, Accuracy (%): 81.22, Silent labels (%): 0.0, Time (s): 25.5
Train | Epoch 10.9 | Loss: 28.44, Accuracy (%): 81.29, Silent labels (%): 0.0, Time (s): 28.68
Train | Epoch 11.0 | Loss: 27.66, Accuracy (%): 82.18, Silent labels (%): 0.01, Time (s): 31.85
Test | Epoch 11.0 | Loss: 29.82, Accuracy (%): 80.01, Learning rate: 0.003, Hidden layer 1 spike counts: 256.37, Output layer spike counts: 150.8, Hidden layer 1 silents (%): 0.5, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 589.11, Output layer weights norm: 107.91, Time (s): 2.55
Best accuracy: 80.01%, Networks save to: best_model
Train | Epoch 11.1 | Loss: 27.74, Accuracy (%): 81.8, Silent labels (%): 0.0, Time (s): 2.88
Train | Epoch 11.2 | Loss: 27.73, Accuracy (%): 82.37, Silent labels (%): 0.0, Time (s): 6.04
Train | Epoch 11.3 | Loss: 27.81, Accuracy (%): 81.63, Silent labels (%): 0.0, Time (s): 9.2
Train | Epoch 11.4 | Loss: 27.51, Accuracy (%): 82.2, Silent labels (%): 0.0, Time (s): 12.36
Train | Epoch 11.5 | Loss: 27.69, Accuracy (%): 82.08, Silent labels (%): 0.0, Time (s): 15.55
Train | Epoch 11.6 | Loss: 27.81, Accuracy (%): 81.83, Silent labels (%): 0.0, Time (s): 18.76
Train | Epoch 11.7 | Loss: 27.67, Accuracy (%): 82.15, Silent labels (%): 0.0, Time (s): 21.98
Train | Epoch 11.8 | Loss: 27.96, Accuracy (%): 81.91, Silent labels (%): 0.0, Time (s): 25.22
Train | Epoch 11.9 | Loss: 27.84, Accuracy (%): 81.43, Silent labels (%): 0.0, Time (s): 28.41
Train | Epoch 12.0 | Loss: 27.74, Accuracy (%): 81.8, Silent labels (%): 0.0, Time (s): 31.6
Test | Epoch 12.0 | Loss: 29.45, Accuracy (%): 79.82, Learning rate: 0.003, Hidden layer 1 spike counts: 251.09, Output layer spike counts: 150.92, Hidden layer 1 silents (%): 0.5, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 611.4, Output layer weights norm: 109.91, Time (s): 2.6
Train | Epoch 12.1 | Loss: 27.18, Accuracy (%): 82.28, Silent labels (%): 0.0, Time (s): 2.79
Train | Epoch 12.2 | Loss: 27.01, Accuracy (%): 82.75, Silent labels (%): 0.0, Time (s): 6.0
Train | Epoch 12.3 | Loss: 26.99, Accuracy (%): 82.53, Silent labels (%): 0.0, Time (s): 9.2
Train | Epoch 12.4 | Loss: 27.28, Accuracy (%): 81.97, Silent labels (%): 0.01, Time (s): 12.37
Train | Epoch 12.5 | Loss: 27.59, Accuracy (%): 81.91, Silent labels (%): 0.0, Time (s): 15.55
Train | Epoch 12.6 | Loss: 27.29, Accuracy (%): 81.94, Silent labels (%): 0.0, Time (s): 18.82
Train | Epoch 12.7 | Loss: 27.24, Accuracy (%): 82.47, Silent labels (%): 0.0, Time (s): 22.03
Train | Epoch 12.8 | Loss: 27.46, Accuracy (%): 82.29, Silent labels (%): 0.01, Time (s): 25.27
Train | Epoch 12.9 | Loss: 27.86, Accuracy (%): 81.35, Silent labels (%): 0.01, Time (s): 28.52
Train | Epoch 13.0 | Loss: 27.82, Accuracy (%): 81.78, Silent labels (%): 0.0, Time (s): 31.7
Test | Epoch 13.0 | Loss: 29.29, Accuracy (%): 80.26, Learning rate: 0.003, Hidden layer 1 spike counts: 249.5, Output layer spike counts: 151.33, Hidden layer 1 silents (%): 0.5, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 633.27, Output layer weights norm: 111.92, Time (s): 2.59
Best accuracy: 80.26%, Networks save to: best_model
Train | Epoch 13.1 | Loss: 27.46, Accuracy (%): 82.18, Silent labels (%): 0.0, Time (s): 2.82
Train | Epoch 13.2 | Loss: 26.98, Accuracy (%): 82.45, Silent labels (%): 0.01, Time (s): 6.03
Train | Epoch 13.3 | Loss: 26.99, Accuracy (%): 82.28, Silent labels (%): 0.0, Time (s): 9.22
Train | Epoch 13.4 | Loss: 27.33, Accuracy (%): 81.93, Silent labels (%): 0.0, Time (s): 12.44
Train | Epoch 13.5 | Loss: 26.91, Accuracy (%): 82.39, Silent labels (%): 0.0, Time (s): 15.64
Train | Epoch 13.6 | Loss: 27.35, Accuracy (%): 82.19, Silent labels (%): 0.0, Time (s): 18.83
Train | Epoch 13.7 | Loss: 27.19, Accuracy (%): 82.35, Silent labels (%): 0.0, Time (s): 22.03
Train | Epoch 13.8 | Loss: 27.04, Accuracy (%): 82.5, Silent labels (%): 0.0, Time (s): 25.22
Train | Epoch 13.9 | Loss: 27.02, Accuracy (%): 82.72, Silent labels (%): 0.0, Time (s): 28.44
Train | Epoch 14.0 | Loss: 27.0, Accuracy (%): 82.5, Silent labels (%): 0.0, Time (s): 31.63
Test | Epoch 14.0 | Loss: 29.24, Accuracy (%): 80.1, Learning rate: 0.003, Hidden layer 1 spike counts: 243.01, Output layer spike counts: 149.44, Hidden layer 1 silents (%): 0.5, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 654.47, Output layer weights norm: 113.8, Time (s): 2.62
Train | Epoch 14.1 | Loss: 26.52, Accuracy (%): 82.77, Silent labels (%): 0.0, Time (s): 2.76
Train | Epoch 14.2 | Loss: 26.35, Accuracy (%): 83.21, Silent labels (%): 0.0, Time (s): 5.95
Train | Epoch 14.3 | Loss: 27.21, Accuracy (%): 82.35, Silent labels (%): 0.0, Time (s): 9.18
Train | Epoch 14.4 | Loss: 26.68, Accuracy (%): 82.98, Silent labels (%): 0.0, Time (s): 12.38
Train | Epoch 14.5 | Loss: 26.83, Accuracy (%): 82.66, Silent labels (%): 0.0, Time (s): 15.57
Train | Epoch 14.6 | Loss: 26.62, Accuracy (%): 82.85, Silent labels (%): 0.0, Time (s): 18.76
Train | Epoch 14.7 | Loss: 26.68, Accuracy (%): 82.68, Silent labels (%): 0.0, Time (s): 21.96
Train | Epoch 14.8 | Loss: 26.86, Accuracy (%): 82.6, Silent labels (%): 0.0, Time (s): 25.18
Train | Epoch 14.9 | Loss: 27.37, Accuracy (%): 81.68, Silent labels (%): 0.0, Time (s): 28.39
Train | Epoch 15.0 | Loss: 26.88, Accuracy (%): 82.29, Silent labels (%): 0.0, Time (s): 31.59
Test | Epoch 15.0 | Loss: 28.89, Accuracy (%): 80.32, Learning rate: 0.003, Hidden layer 1 spike counts: 241.34, Output layer spike counts: 152.06, Hidden layer 1 silents (%): 0.5, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 675.2, Output layer weights norm: 115.78, Time (s): 2.59
Best accuracy: 80.32%, Networks save to: best_model
Train | Epoch 15.1 | Loss: 26.39, Accuracy (%): 83.17, Silent labels (%): 0.0, Time (s): 2.51
Train | Epoch 15.2 | Loss: 26.53, Accuracy (%): 82.61, Silent labels (%): 0.0, Time (s): 5.69
Train | Epoch 15.3 | Loss: 26.77, Accuracy (%): 82.6, Silent labels (%): 0.0, Time (s): 8.87
Train | Epoch 15.4 | Loss: 26.47, Accuracy (%): 82.7, Silent labels (%): 0.01, Time (s): 12.05
Train | Epoch 15.5 | Loss: 26.48, Accuracy (%): 82.92, Silent labels (%): 0.0, Time (s): 15.25
