Using GPU: b'NVIDIA A40'
This network will be trained using DT = 0.003
Numpy seed: 1835284946, Cupy seed: 1795915461
Loading datasets...
Creating network...
Training...
Train | Epoch 10.3 | Loss: 27.89, Accuracy (%): 82.04, Silent labels (%): 0.01, Time (s): 9.05
Train | Epoch 10.4 | Loss: 28.07, Accuracy (%): 81.85, Silent labels (%): 0.02, Time (s): 12.19
Train | Epoch 10.5 | Loss: 27.83, Accuracy (%): 81.81, Silent labels (%): 0.01, Time (s): 15.32
Train | Epoch 10.6 | Loss: 28.37, Accuracy (%): 80.83, Silent labels (%): 0.0, Time (s): 18.46
Train | Epoch 10.7 | Loss: 27.93, Accuracy (%): 81.28, Silent labels (%): 0.0, Time (s): 21.6
Train | Epoch 10.8 | Loss: 27.87, Accuracy (%): 81.78, Silent labels (%): 0.0, Time (s): 24.72
Train | Epoch 10.9 | Loss: 27.91, Accuracy (%): 81.68, Silent labels (%): 0.01, Time (s): 27.86
Train | Epoch 11.0 | Loss: 28.19, Accuracy (%): 81.67, Silent labels (%): 0.01, Time (s): 31.0
Test | Epoch 11.0 | Loss: 29.54, Accuracy (%): 80.2, Learning rate: 0.003, Hidden layer 1 spike counts: 511.48, Output layer spike counts: 152.19, Hidden layer 1 silents (%): 0.5, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 612.42, Output layer weights norm: 107.55, Time (s): 2.43
Best accuracy: 80.2%, Networks save to: best_model
Train | Epoch 11.1 | Loss: 28.05, Accuracy (%): 81.79, Silent labels (%): 0.0, Time (s): 2.65
Train | Epoch 11.2 | Loss: 27.46, Accuracy (%): 82.73, Silent labels (%): 0.0, Time (s): 5.78
Train | Epoch 11.3 | Loss: 28.09, Accuracy (%): 81.98, Silent labels (%): 0.0, Time (s): 8.92
Train | Epoch 11.4 | Loss: 28.44, Accuracy (%): 81.45, Silent labels (%): 0.0, Time (s): 12.06
Train | Epoch 11.5 | Loss: 28.31, Accuracy (%): 81.65, Silent labels (%): 0.0, Time (s): 15.2
